iteration,residual
1,19.736282166857247
2,19.730429764049937
3,19.724579096656534
4,19.718730164162448
5,19.712882966053208
6,19.70703750181454
7,19.701193770932303
8,19.695351772892455
9,19.689511507181191
10,19.683672973284871
11,19.677836170689879
12,19.672001098882838
13,19.666167757350596
14,19.660336145579951
15,19.654506263058153
16,19.6486781092722
17,19.642851683709662
18,19.637026985858025
19,19.631204015204837
20,19.625382771238215
21,19.619563253445818
22,19.61374546131594
23,19.607929394336875
24,19.602115051997153
25,19.596302433785233
26,19.59049153918976
27,19.584682367699894
28,19.578874918804452
29,19.573069191992875
30,19.567265186754156
31,19.561462902578263
32,19.555662338954352
33,19.549863495372513
34,19.544066371322824
35,19.538270966295141
36,19.53247727977978
37,19.526685311267169
38,19.52089506024797
39,19.515106526212612
40,19.509319708652335
41,19.503534607057915
42,19.497751220920595
43,19.491969549731607
44,19.486189592982537
45,19.480411350164857
46,19.4746348207705
47,19.468860004291276
48,19.463086900219125
49,19.457315508046548
50,19.451545827265825
51,19.44577785736935
52,19.440011597849978
53,19.43424704820022
54,19.428484207913503
55,19.422723076482573
56,19.416963653400856
57,19.411205938161906
58,19.405449930258808
59,19.399695629186031
60,19.393943034436894
61,19.388192145505407
62,19.382442961886039
63,19.376695483073267
64,19.370949708560865
65,19.365205637843996
66,19.35946327041691
67,19.353722605775687
68,19.347983643414107
69,19.342246382828261
70,19.336510823512853
71,19.330776964963967
72,19.325044806676768
73,19.31931434814781
74,19.313585588872254
75,19.30785852834665
76,19.302133166067321
77,19.296409501530352
78,19.290687534232525
79,19.284967263670623
80,19.279248689341657
81,19.273531810741943
82,19.267816627369651
83,19.262103138721333
84,19.256391344294688
85,19.250681243586968
86,19.244972836097023
87,19.239266121321407
88,19.233561098759214
89,19.227857767908144
90,19.22215612826637
91,19.216456179332972
92,19.210757920606358
93,19.205061351585154
94,19.19936647176845
95,19.193673280655563
96,19.187981777745126
97,19.182291962537157
98,19.176603834530738
99,19.170917393225889
100,19.165232638122855
101,19.159549568720493
102,19.153868184519975
103,19.148188485020853
104,19.142510469724062
105,19.136834138130084
106,19.13115948973962
107,19.125486524053148
108,19.119815240572532
109,19.114145638798014
110,19.108477718231924
111,19.102811478375653
112,19.097146918729454
113,19.091484038795876
114,19.085822838077476
115,19.080163316075886
116,19.074505472292739
117,19.068849306231506
118,19.063194817393363
119,19.057542005282247
120,19.051890869399788
121,19.046241409250392
122,19.040593624335227
123,19.034947514159615
124,19.029303078225652
125,19.023660316036352
126,19.018019227097046
127,19.012379810910286
128,19.006742066980934
129,19.001105994812473
130,18.995471593909301
131,18.989838863776281
132,18.984207803916899
133,18.978578413836935
134,18.972950693040794
135,18.967324641033798
136,18.961700257320359
137,18.956077541406717
138,18.950456492798203
139,18.94483711099922
140,18.939219395516936
141,18.933603345857144
142,18.927988961524242
143,18.922376242026797
144,18.916765186868737
145,18.911155795559555
146,18.905548067602265
147,18.89994200250635
148,18.894337599777131
149,18.888734858922714
150,18.883133779449803
151,18.877534360866036
152,18.87193660267905
153,18.866340504395094
154,18.860746065524108
155,18.855153285572349
156,18.849562164048372
157,18.843972700461659
158,18.838384894318466
159,18.832798745127807
160,18.82721425240009
161,18.821631415641566
162,18.816050234363566
163,18.810470708073261
164,18.804892836281525
165,18.799316618496448
166,18.793742054228904
167,18.788169142986987
168,18.782597884281103
169,18.777028277622126
170,18.771460322518607
171,18.765894018482808
172,18.760329365022823
173,18.754766361651367
174,18.74920500787746
175,18.743645303212897
176,18.738087247169009
177,18.732530839255737
178,18.726976078984876
179,18.721422965868218
180,18.715871499417094
181,18.710321679142371
182,18.704773504558151
183,18.699226975173456
184,18.69368209050285
185,18.688138850057662
186,18.682597253350608
187,18.677057299893942
188,18.671518989200379
189,18.665982320783101
190,18.660447294154359
191,18.654913908828718
192,18.64938216431889
193,18.643852060137135
194,18.638323595798475
195,18.632796770817013
196,18.627271584704541
197,18.621748036977007
198,18.616226127147591
199,18.61070585473178
200,18.605187219242747
201,18.599670220194604
202,18.594154857104211
203,18.588641129484756
204,18.583129036851723
205,18.577618578721523
206,18.572109754606874
207,18.566602564025107
208,18.56109700649171
209,18.555593081521714
210,18.550090788631984
211,18.54459012733755
212,18.539091097155282
213,18.533593697601596
214,18.528097928192437
215,18.522603788444219
216,18.517111277874736
217,18.511620395999937
218,18.506131142337161
219,18.500643516403279
