version,size,processes,tolerance,status,iterations,residual,relative_l2_error,checksum,total_seconds,compute_seconds,halo_issue_seconds,halo_wait_seconds,reduction_seconds
serial,32,1,9.9999999999999995e-07,converged,3702,9.9937980291286955e-07,0.00075554161314621596,441.02151892946529,0.006752932,0.006666290,0.000000000,0.000000000,0.000000000
serial,64,1,9.9999999999999995e-07,converged,14377,9.9981918300073858e-07,0.00019463886110764796,1711.9945316465958,0.106055008,0.105686607,0.000000000,0.000000000,0.000000000
serial,128,1,9.9999999999999995e-07,converged,56642,9.9971639766494036e-07,4.9374959761190199e-05,6744.0095799482888,1.545926947,1.543905946,0.000000000,0.000000000,0.000000000
serial,256,1,9.9999999999999995e-07,converged,224827,9.999745511635183e-07,1.2401812832100961e-05,26768.316740932383,23.845680448,23.833603704,0.000000000,0.000000000,0.000000000
