version,size,processes,tolerance,status,iterations,residual,relative_l2_error,checksum,total_seconds,compute_seconds,halo_issue_seconds,halo_wait_seconds,reduction_seconds
serial,1024,1,9.9999999999999995e-07,fixed_iterations,200,19.720720719466559,0.99906103574114402,399.81249088124713,0.453908649,0.453887331,0.000000000,0.000000000,0.000000000
serial,1024,1,9.9999999999999995e-07,fixed_iterations,200,19.720720719466559,0.99906103574114402,399.81249088124713,0.465193368,0.465161870,0.000000000,0.000000000,0.000000000
serial,1024,1,9.9999999999999995e-07,fixed_iterations,200,19.720720719466559,0.99906103574114402,399.81249088124713,0.454584130,0.454557850,0.000000000,0.000000000,0.000000000
serial,1024,1,9.9999999999999995e-07,fixed_iterations,200,19.720720719466559,0.99906103574114402,399.81249088124713,0.457320632,0.457299232,0.000000000,0.000000000,0.000000000
serial,1024,1,9.9999999999999995e-07,fixed_iterations,200,19.720720719466559,0.99906103574114402,399.81249088124713,0.454091753,0.454070490,0.000000000,0.000000000,0.000000000
mpi_blocking,1024,1,9.9999999999999995e-07,fixed_iterations,200,19.720720719466559,0.99906103574114402,399.81249088124713,0.457826899,0.457457722,0.000000000,0.000064022,0.000214479
mpi_blocking,1024,1,9.9999999999999995e-07,fixed_iterations,200,19.720720719466559,0.99906103574114402,399.81249088124713,0.455953827,0.455603556,0.000000000,0.000068796,0.000186240
mpi_blocking,1024,1,9.9999999999999995e-07,fixed_iterations,200,19.720720719466559,0.99906103574114402,399.81249088124713,0.454919864,0.454569325,0.000000000,0.000083181,0.000181967
mpi_blocking,1024,1,9.9999999999999995e-07,fixed_iterations,200,19.720720719466559,0.99906103574114402,399.81249088124713,0.457971900,0.457625148,0.000000000,0.000081879,0.000180358
mpi_blocking,1024,1,9.9999999999999995e-07,fixed_iterations,200,19.720720719466559,0.99906103574114402,399.81249088124713,0.453730332,0.453330889,0.000000000,0.000088367,0.000222932
mpi_overlap,1024,1,9.9999999999999995e-07,fixed_iterations,200,19.720720719466559,0.99906103574114402,399.81249088124713,0.458987234,0.458555993,0.000069087,0.000113173,0.000166764
mpi_overlap,1024,1,9.9999999999999995e-07,fixed_iterations,200,19.720720719466559,0.99906103574114402,399.81249088124713,0.459250436,0.458820324,0.000078736,0.000107450,0.000165176
mpi_overlap,1024,1,9.9999999999999995e-07,fixed_iterations,200,19.720720719466559,0.99906103574114402,399.81249088124713,0.457364529,0.456933419,0.000077555,0.000111603,0.000163241
mpi_overlap,1024,1,9.9999999999999995e-07,fixed_iterations,200,19.720720719466559,0.99906103574114402,399.81249088124713,0.461130661,0.460718025,0.000072877,0.000112242,0.000150931
mpi_overlap,1024,1,9.9999999999999995e-07,fixed_iterations,200,19.720720719466559,0.99906103574114402,399.81249088124713,0.456528744,0.456120048,0.000067302,0.000108330,0.000153093
mpi_blocking,1024,2,9.9999999999999995e-07,fixed_iterations,200,19.720720719466559,0.99906103574116445,399.81249088126765,0.268020070,0.260340392,0.000000000,0.005159317,0.004273838
mpi_blocking,1024,2,9.9999999999999995e-07,fixed_iterations,200,19.720720719466559,0.99906103574116445,399.81249088126765,0.267495898,0.259549240,0.000000000,0.005244646,0.002822466
mpi_blocking,1024,2,9.9999999999999995e-07,fixed_iterations,200,19.720720719466559,0.99906103574116445,399.81249088126765,0.271215796,0.263711848,0.000000000,0.005303011,0.002660983
mpi_blocking,1024,2,9.9999999999999995e-07,fixed_iterations,200,19.720720719466559,0.99906103574116445,399.81249088126765,0.266528134,0.260175904,0.000000000,0.005236392,0.004039237
mpi_blocking,1024,2,9.9999999999999995e-07,fixed_iterations,200,19.720720719466559,0.99906103574116445,399.81249088126765,0.266894095,0.259971840,0.000000000,0.005332842,0.003317969
mpi_overlap,1024,2,9.9999999999999995e-07,fixed_iterations,200,19.720720719466559,0.99906103574116445,399.81249088126765,0.268716389,0.263744162,0.000284061,0.009421936,0.000944479
